"","V1","V2"
"820","D430019H16Rik","antiquewhite4"
"821","Sectm1a","orange"
"822","Gm12185","orange"
"823","Arnt2","saddlebrown"
"824","Akr1b3","black"
"825","Dtna","white"
"826","Rcor2","black"
"827","Epb41l4b","plum"
"828","Fgf13","darkseagreen4"
"829","Gm4425","black"
"830","Xkrx","black"
"831","Slc27a6","lightgreen"
"832","Adgrg2","navajowhite2"
"833","Ggnbp2os","black"
"834","Mpp3","thistle2"
"835","Irx1","darkorange2"
"836","F420014N23Rik","lightcyan1"
"837","Gm20604","skyblue"
"838","Traf3ip3","orange"
"839","Ccdc57","darkviolet"
"840","Slc4a11","blue2"
"841","Tslp","brown4"
"842","X3110035E14Rik","black"
"843","Pgam2","darkseagreen4"
"844","Tnfrsf13b","black"
"845","Kcnt2","midnightblue"
"846","X4931430N09Rik","mediumpurple3"
"847","Syt3","plum"
"848","Stra6","orangered4"
"849","Sugct","salmon2"
"850","Adamts20","red"
"851","Timd4","black"
"852","Bmx","white"
"853","Gabbr2","plum2"
"854","Marc1","navajowhite1"
"855","Cobl","black"
"856","Tlcd1","lightgreen"
"857","Raet1e","palevioletred3"
"858","Cenpv","black"
"859","Slc36a2","magenta"
"860","Abcg3","lightsteelblue1"
"861","Mcpt4","floralwhite"
"862","Mrap","magenta"
"863","Foxd2","midnightblue"
"864","Galnt5","lightsteelblue"
"865","Tmem255b","lightgreen"
"866","Acod1","salmon"
"867","Flt3","white"
"868","Rxfp3","black"
"869","Slc24a1","plum3"
"870","Zfp575","honeydew1"
"871","Ino80dos","red"
"872","A230056P14Rik","white"
"873","Gm10638","black"
"874","Ttc39a","brown4"
"875","Pdlim3","grey"
"876","Park2","ivory"
"877","C130083M11Rik","black"
"878","Gm16596","yellow4"
"879","Aldh3b2","magenta"
"880","Cck","maroon"
"881","Fgfbp3","black"
"882","Orm1","magenta"
"883","Slc10a1","grey"
"884","Slc14a2","midnightblue"
"885","Snhg10","black"
"886","Acat3","darkmagenta"
"887","Mtcp1","plum3"
"888","Cacng1","orangered3"
"889","X1700096K18Rik","honeydew1"
"890","Apoc1","magenta"
"891","Rad51b","black"
"892","Pcdhga2","black"
"893","Fam110c","lavenderblush2"
"894","Dscc1","salmon"
"895","Gipc2","black"
"896","Ankrd34a","black"
"897","Dio3os","black"
"898","X2810408A11Rik","yellow4"
"899","Dmrt2","plum"
"900","Tbc1d10c","orange"
"901","Tnni1","black"
"902","Xlr4b","black"
"903","Gm1976","black"
"904","Hlf","magenta4"
"905","Tmem14a","lightsteelblue"
"906","X9430091E24Rik","white"
"907","Zfp750","coral2"
"908","Zfp773","midnightblue"
"909","Rab40b","black"
"910","Morn2","black"
"911","Mtfr2","skyblue"
"912","Xpnpep2","plum3"
"913","Prom1","magenta"
"914","Epop","black"
"915","Lcn2","magenta"
"916","Omg","grey"
"917","Zfp939","brown2"
"918","Pcdhb4","orange"
"919","X4930405O22Rik","red"
"920","Tnfrsf18","orange"
"921","Skida1","midnightblue"
"922","AI839979","black"
"923","Slc35g2","lightgreen"
"924","X2810047C21Rik1","black"
"925","Fv1","honeydew1"
"926","Lrrc75b","black"
"927","Nts","salmon4"
"928","Asphd2","black"
"929","X4930515G01Rik","white"
"930","Oscp1","black"
"931","Kcnn3","magenta"
"932","Prlr","darkorange2"
"933","Itgb8","indianred4"
"934","Efnb3","black"
"935","Prr36","black"
"936","Rspo3","midnightblue"
"937","C1ql3","grey"
"938","X9130008F23Rik","black"
"939","X1110002L01Rik","black"
"940","Hoxb5","navajowhite2"
"941","Gm38431","black"
"942","Zfp493","skyblue2"
"943","Syt5","floralwhite"
"944","Serpina3i","black"
"945","Mpst","black"
"946","Ccdc51","black"
"947","Rgs11","black"
"948","Cxcl2","black"
"949","Gm1673","black"
"950","Rtl1","darkolivegreen4"
"951","Stag3","salmon"
"952","Tpsb2","grey"
"953","Zbtb16","grey"
"954","Myl4","black"
"955","Akr1c14","black"
"956","Tmem17","black"
"957","Cpm","honeydew1"
"958","Wnt11","black"
"959","Ccr9","red"
"960","Lgi1","floralwhite"
"961","Cd5l","black"
"962","Cox6a2","darkseagreen4"
"963","Lipg","salmon"
"964","Ulk4","black"
"965","Zfp804a","black"
"966","Foxf1","black"
"967","Reln","black"
"968","Paqr3","grey"
"969","Serpina3f","lightcoral"
"970","Adamts18","black"
"971","Ripply3","brown4"
"972","G0s2","red"
"973","Lrrc3b","skyblue"
"974","Tmem246","palevioletred2"
"975","Efcab11","bisque4"
"976","Csmd1","lightpink4"
"977","Srl","darkseagreen4"
"978","Traip","black"
