"V1" "V2"
"661" "Fam227a" "mediumpurple2"
"662" "Olfr111" "grey"
"663" "Susd5" "brown4"
"664" "Nrg4" "darkolivegreen"
"665" "Gm6225" "grey"
"666" "Ank1" "darkorange2"
"667" "X2010016I18Rik" "brown4"
"668" "Mcemp1" "paleturquoise"
"669" "X1700034H15Rik" "white"
"670" "Prss12" "yellow4"
"671" "Arl14epl" "steelblue"
"672" "Ppp4r4" "brown4"
"673" "Kiss1r" "brown"
"674" "Gdf15" "brown4"
"675" "AI115009" "brown4"
"676" "B330016D10Rik" "blue"
"677" "Capns2" "lightpink4"
"678" "Cd3e" "brown"
"679" "F630042J09Rik" "brown4"
"680" "Gm17745" "brown4"
"681" "Gm19466" "salmon4"
"682" "Gm3716" "grey"
"683" "H2afy3" "yellow4"
"684" "Mlf1" "brown4"
"685" "Mns1" "lightsteelblue1"
"686" "Padi4" "blue2"
"687" "Piwil4" "grey"
"688" "Slc6a7" "brown"
"689" "Tspyl5" "brown"
"690" "Mmp10" "brown4"
"691" "Sele" "lightyellow"
"692" "Soat2" "lightyellow"
"693" "C030034L19Rik" "brown"
"694" "Gm4961" "steelblue"
"695" "Gpr137c" "antiquewhite4"
"696" "Hook1" "darkolivegreen"
"697" "Siglecf" "salmon2"
"698" "Zc2hc1c" "brown"
"699" "Echdc3" "skyblue2"
"700" "Gpt" "brown4"
"701" "Dpyd" "greenyellow"
"702" "Calr3" "brown4"
"703" "Fam124b" "grey"
"704" "Spock2" "sienna3"
"705" "Hrh2" "sienna3"
"706" "Hoxb9" "honeydew1"
"707" "Tlr12" "brown"
"708" "Moap1" "paleturquoise"
"709" "Ffar2" "darkolivegreen"
"710" "Gfra4" "skyblue2"
"711" "Bmp15" "lightpink4"
"712" "X1700088E04Rik" "brown4"
"713" "Dclk3" "brown4"
"714" "Sprn" "brown"
"715" "Arhgef4" "orangered3"
"716" "Gdf10" "skyblue"
"717" "Hotairm1" "brown4"
"718" "Spic" "skyblue"
"719" "Rab36" "lightyellow"
"720" "Kcnn1" "maroon"
"721" "Prox2" "lightyellow"
"722" "Gm4787" "mediumpurple3"
"723" "Map7" "brown4"
"724" "Gm19897" "brown"
"725" "Gm3636" "blue"
"726" "Fcrl1" "brown"
"727" "Klri2" "plum2"
"728" "Rorb" "antiquewhite4"
"729" "Alyref2" "paleturquoise"
"730" "Dusp9" "darkolivegreen4"
"731" "Ccdc136" "indianred4"
"732" "Tarm1" "brown"
"733" "Pcdh20" "antiquewhite4"
"734" "Zfp300" "maroon"
"735" "Tmem100" "skyblue"
"736" "Scd1" "darkolivegreen"
"737" "Cngb1" "brown4"
"738" "Hist2h2bb" "darkseagreen3"
"739" "Celsr1" "grey"
"740" "Plp1" "grey"
"741" "Ppl" "lightsteelblue"
"742" "Cdh23" "salmon4"
"743" "Casq2" "brown4"
"744" "Arhgef37" "salmon2"
"745" "Fgfr3" "indianred4"
"746" "Rasgef1a" "brown4"
"747" "Haao" "lightyellow"
"748" "Klrb1c" "steelblue"
"749" "Ahrr" "salmon2"
"750" "Glb1l2" "darkolivegreen"
"751" "Slc9a4" "royalblue"
"752" "Gm996" "grey"
"753" "Clec3b" "brown4"
"754" "Fam72a" "brown4"
"755" "Eps8l2" "brown"
"756" "Agbl2" "brown4"
"757" "Acsbg1" "brown4"
"758" "X1700034J05Rik" "brown4"
"759" "Sema4g" "orangered3"
"760" "Zbtb12" "brown"
"761" "Ccdc85c" "brown"
"762" "Cavin4" "blue"
"763" "Gm12992" "brown4"
"764" "Adgre4" "ivory"
"765" "Osbpl10" "brown"
"766" "Cdh24" "brown"
"767" "Pex11a" "lightcoral"
"768" "Amy1" "darkolivegreen"
"769" "X2810001G20Rik" "brown"
"770" "Rnf113a1" "indianred4"
"771" "Cntn2" "brown"
"772" "Lgi3" "darkolivegreen4"
"773" "X2610318N02Rik" "blue2"
"774" "Cd8b1" "steelblue"
"775" "Fbxo48" "orangered3"
"776" "Fgf23" "darkolivegreen"
"777" "Gbp11" "greenyellow"
"778" "Gp1ba" "bisque4"
"779" "Sv2b" "black"
"780" "Tex14" "plum2"
"781" "Tomt" "brown4"
"782" "Dnph1" "brown4"
"783" "Tnfaip8l3" "lightsteelblue1"
"784" "X4932416H05Rik" "brown"
"785" "Mmp27" "brown4"
"786" "A2m" "darkmagenta"
"787" "Zfp558" "darkolivegreen"
"788" "Arhgap20" "blue"
"789" "Lrriq3" "brown4"
"790" "X2900005J15Rik" "grey"
"791" "Grin2a" "maroon"
"792" "Slc2a4" "darkolivegreen"
"793" "Fitm2" "brown"
"794" "X4930513N10Rik" "brown"
"795" "X4931440P22Rik" "brown"
"796" "Macrod1" "brown4"
"797" "Trp53cor1" "indianred4"
"798" "Gm16897" "brown4"
"799" "Brinp1" "lightpink4"
"800" "Serpinb2" "darkolivegreen"
"801" "Map3k15" "brown4"
"802" "Kng2" "brown4"
"803" "Ppp1r14a" "brown4"
"804" "Atg9b" "honeydew"
"805" "Zfp185" "thistle1"
"806" "Gm16523" "thistle"
"807" "Gabra3" "blue"
"808" "Gm11696" "brown"
"809" "Gm3317" "darkgrey"
"810" "Gm3488" "darkgrey"
