"","V1","V2"
"800","LINC00920","grey"
"801","C16orf89","grey"
"802","MUC16","saddlebrown"
"803","EFCAB6","grey"
"804","GLIS1","grey"
"805","MEOX1","grey"
"806","CD79B","salmon"
"807","LINC01105","yellow"
"808","ATRNL1","lightsteelblue1"
"809","CLDN18","grey"
"810","PDGFRA","darkmagenta"
"811","SAMD5","darkmagenta"
"812","HOXD13","bisque4"
"813","TAL1","paleturquoise"
"814","PRDM16","floralwhite"
"815","BNC2","plum2"
"816","CD164L2","grey"
"817","PRTG","grey"
"818","BMP6","grey"
"819","WDR72","grey"
"820","TSHZ2","grey"
"821","LINGO4","ivory"
"822","SLC15A3","grey"
"823","NCAM2","grey"
"824","SLC2A14","grey"
"825","MME","grey"
"826","HTR1D","greenyellow"
"827","RIMBP3","grey"
"828","HES4","darkslateblue"
"829","SEC14L4","grey"
"830","DPYSL4","grey"
"831","PCDH15","grey"
"832","AQP3","grey"
"833","SPTSSB","orangered4"
"834","UNC5C","grey"
"835","MMP9","grey"
"836","CCL20","pink"
"837","ST6GALNAC3","grey"
"838","IKZF3","grey"
"839","GABRQ","grey"
"840","ANXA8","grey"
"841","SLITRK6","grey"
"842","MPZ","darkgrey"
"843","HCG4","grey"
"844","PLP1","brown4"
"845","TGM2","honeydew1"
"846","NOS2","grey"
"847","TAS2R43","grey"
"848","TMEM132E","grey"
"849","LOC101929586","black"
"850","PTPRM","grey"
"851","TTYH1","lavenderblush3"
"852","LOC101929427","orange"
"853","DOCK2","grey"
"854","HHIPL2","thistle1"
"855","MEST","grey"
"856","STEAP4","lightcyan"
"857","RSPO3","grey"
"858","IL1RN","green"
"859","KIAA1456","palevioletred3"
"860","RAMP1","lightsteelblue1"
"861","CYS1","paleturquoise"
"862","CAPN6","salmon"
"863","DPPA2P3","darkslateblue"
"864","MOXD1","black"
"865","ADIRF","darkslateblue"
"866","ANK1","honeydew1"
"867","OR7A5","grey"
"868","POMC","grey"
"869","CALML3","darkslateblue"
"870","DCC","grey"
"871","FAM107A","grey"
"872","TGM5","violet"
"873","SNCA","grey"
"874","DPP10","grey"
"875","C8orf46","green"
"876","NIPAL4","grey"
"877","LINC00889","skyblue"
"878","PDGFRB","darkred"
"879","ZNF492","grey"
"880","MAT1A","greenyellow"
"881","ABCG2","grey"
"882","LUM","lightsteelblue1"
"883","SYNPO2","pink"
"884","FAM133A","grey"
"885","GABRA3","grey"
"886","TCN1","green"
"887","CXorf49","darkolivegreen"
"888","CXorf49B","darkolivegreen"
"889","MNX1.AS1","ivory"
"890","SAA1","salmon4"
"891","CFD","darkslateblue"
"892","FOXI3","paleturquoise"
"893","LSP1","grey"
"894","TMEM132B","grey"
"895","ACTA2","grey"
"896","ESRRG","darkmagenta"
"897","SEMA5B","grey"
"898","ITGBL1","grey"
"899","ITPRIPL1","darkred"
"900","PLA2G3","grey"
"901","TFF3","darkslateblue"
"902","BTNL9","grey"
"903","HSPB2","grey"
"904","UBE2QL1","grey"
"905","FLI1","lightsteelblue1"
"906","IL22RA2","grey"
"907","PAX1","bisque4"
"908","KCND2","grey"
"909","IQGAP2","grey"
"910","EFCAB1","grey"
"911","GGT5","grey"
"912","ZNF365","grey"
"913","EDNRA","grey"
"914","LOC284581","grey"
"915","GATA6.AS1","grey"
"916","AMN","greenyellow"
"917","MGC12916","grey"
"918","RASL12","salmon"
"919","GSTT2B","greenyellow"
"920","IGFBP5","grey"
"921","FGD2","darkslateblue"
"922","STC1","grey"
"923","FOXA3","darkslateblue"
"924","FOLR1","floralwhite"
"925","TBX4","grey"
"926","ANXA8L1","navajowhite2"
"927","SYT11","black"
"928","HGD","yellow"
"929","ANKRD30B","darkorange2"
"930","PRR18","grey"
"931","TOGARAM2","grey"
"932","PRKG2","grey"
"933","LTB","grey"
"934","AGT","grey"
"935","BST2","magenta"
"936","VSTM2L","grey"
"937","SOSTDC1","grey"
